Accuracy,False Negatives,False Positives,Iteration,True Negatives,True Positives,Positives,Negatives
0.490186125,177,425.6,0,182.4,397,574,608
0.725465313,102,222.5,1,385.5,472,574,608
0.835956007,118,75.9,2,532.1,456,574,608
0.846362098,111.4,70.2,3,537.8,462.6,574,608
0.888832487,61.9,69.5,4,538.5,512.1,574,608
0.899830795,6.3,112.1,5,495.9,567.7,574,608
0.926734349,23.7,62.9,6,545.1,550.3,574,608
0.976565144,21.6,6.1,7,601.9,552.4,574,608
0.990778342,7.3,3.6,8,604.4,566.7,574,608
0.99357022,6.1,1.5,9,606.5,567.9,574,608
0.993654822,6.3,1.2,10,606.8,567.7,574,608
0.994839255,4.6,1.5,11,606.5,569.4,574,608
0.995262267,3.8,1.8,12,606.2,570.2,574,608
0.995262267,3.9,1.7,13,606.3,570.1,574,608
0.996023689,2.3,2.4,14,605.6,571.7,574,608
0.996531303,2.6,1.5,15,606.5,571.4,574,608
0.996700508,2.6,1.3,16,606.7,571.4,574,608
0.996869712,2.6,1.1,17,606.9,571.4,574,608
0.997208122,2.4,0.9,18,607.1,571.6,574,608
0.997208122,2.4,0.9,19,607.1,571.6,574,608
0.997208122,2.4,0.9,20,607.1,571.6,574,608
0.997208122,2.4,0.9,21,607.1,571.6,574,608
0.997208122,2.4,0.9,22,607.1,571.6,574,608
0.997208122,2.4,0.9,23,607.1,571.6,574,608
0.997123519,2.2,1.2,24,606.8,571.8,574,608
0.997377327,2,1.1,25,606.9,572,574,608
0.997292724,2.2,1,26,607,571.8,574,608
0.997292724,2.2,1,27,607,571.8,574,608
0.997292724,2.2,1,28,607,571.8,574,608
0.997123519,2.6,0.8,29,607.2,571.4,574,608
0.997123519,2.6,0.8,30,607.2,571.4,574,608
0.997123519,2.7,0.7,31,607.3,571.3,574,608
0.996869712,2.8,0.9,32,607.1,571.2,574,608
0.996869712,2.8,0.9,33,607.1,571.2,574,608
0.996869712,2.8,0.9,34,607.1,571.2,574,608
0.996869712,2.8,0.9,35,607.1,571.2,574,608
0.996954315,2.8,0.8,36,607.2,571.2,574,608
0.996954315,2.8,0.8,37,607.2,571.2,574,608
0.996954315,2.8,0.8,38,607.2,571.2,574,608
0.996954315,2.8,0.8,39,607.2,571.2,574,608
0.996700508,3.1,0.8,40,607.2,570.9,574,608
0.996615905,3.2,0.8,41,607.2,570.8,574,608
0.997123519,2.7,0.7,42,607.3,571.3,574,608
0.997123519,2.7,0.7,43,607.3,571.3,574,608
0.997123519,2.7,0.7,44,607.3,571.3,574,608
0.997208122,2.7,0.6,45,607.4,571.3,574,608
0.997208122,2.7,0.6,46,607.4,571.3,574,608
0.997123519,2.5,0.9,47,607.1,571.5,574,608
0.997123519,2.4,1,48,607,571.6,574,608
0.997123519,2.4,1,49,607,571.6,574,608
0.997123519,2.4,1,50,607,571.6,574,608
0.997123519,2.4,1,51,607,571.6,574,608
0.997123519,2.4,1,52,607,571.6,574,608
0.997038917,2.5,1,53,607,571.5,574,608
